epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,69.889,0.70511,1.15052,1.09887,0.90702,1,0.995,0.86216,0.5784,2.52735,1.00599,0.000409022,0.000409022,0.000409022
44,71.2303,0.66576,1.113,1.10908,0.90702,1,0.995,0.86216,0.5784,2.52735,1.00599,0.000411664,0.000411664,0.000411664
45,72.7027,0.75753,1.27087,1.18396,0.58726,1,0.995,0.85052,0.57493,2.50603,0.99218,0.000413976,0.000413976,0.000413976
46,74.0505,0.89529,1.25601,1.20832,0.58726,1,0.995,0.85052,0.57493,2.50603,0.99218,0.000415958,0.000415958,0.000415958
47,75.5161,0.63238,1.12325,1.11191,0.934,1,0.995,0.8844,0.53147,2.47246,0.96685,0.00041761,0.00041761,0.00041761
48,77.0302,0.72757,1.08878,1.07855,0.934,1,0.995,0.8844,0.53147,2.47246,0.96685,0.000418932,0.000418932,0.000418932
49,78.495,0.63382,1.09151,1.06063,1,0.7552,0.995,0.89971,0.49675,2.40106,0.95321,0.000419924,0.000419924,0.000419924
50,79.8596,0.8126,1.29311,1.21364,1,0.7552,0.995,0.89971,0.49675,2.40106,0.95321,0.000420586,0.000420586,0.000420586
51,81.3706,0.94096,1.2726,1.26284,1,0.75448,0.995,0.8682,0.51123,2.32615,0.96804,0.000420918,0.000420918,0.000420918
52,82.7229,0.68848,0.98294,1.13128,1,0.75448,0.995,0.8682,0.51123,2.32615,0.96804,0.000420919,0.000420919,0.000420919
53,84.085,0.58387,0.87998,0.98022,1,0.75448,0.995,0.8682,0.51123,2.32615,0.96804,0.000420591,0.000420591,0.000420591
54,85.5705,0.77835,1.17826,1.15932,1,0.84336,0.995,0.87009,0.57839,2.2714,1.02951,0.000419932,0.000419932,0.000419932
55,87.1308,0.65915,1.00078,1.06929,1,0.84336,0.995,0.87009,0.57839,2.2714,1.02951,0.000418944,0.000418944,0.000418944
56,88.5339,0.6609,1.15158,1.11283,1,0.84336,0.995,0.87009,0.57839,2.2714,1.02951,0.000417625,0.000417625,0.000417625
57,90.2461,0.73345,1.22281,1.19665,0.94822,0.89925,0.9895,0.86692,0.60782,2.18153,1.06515,0.000415977,0.000415977,0.000415977
58,91.8021,0.67084,0.97595,1.01048,0.94822,0.89925,0.9895,0.86692,0.60782,2.18153,1.06515,0.000413998,0.000413998,0.000413998
59,93.1662,0.58524,1.03973,1.05481,0.94822,0.89925,0.9895,0.86692,0.60782,2.18153,1.06515,0.000411689,0.000411689,0.000411689
60,94.6532,0.62278,1.2031,1.08009,0.9578,0.92726,0.995,0.84624,0.61242,2.05706,1.10812,0.00040905,0.00040905,0.00040905
61,95.9947,0.59794,0.91558,0.96598,0.9578,0.92726,0.995,0.84624,0.61242,2.05706,1.10812,0.000406081,0.000406081,0.000406081
62,97.3761,0.7007,0.94158,1.15223,0.9578,0.92726,0.995,0.84624,0.61242,2.05706,1.10812,0.000402782,0.000402782,0.000402782
63,99.0296,0.71084,1.07457,1.23425,0.93928,0.95601,0.995,0.88152,0.56123,1.8945,1.0603,0.000399153,0.000399153,0.000399153
64,100.384,0.5768,1.04895,1.15004,0.93928,0.95601,0.995,0.88152,0.56123,1.8945,1.0603,0.000395194,0.000395194,0.000395194
65,101.94,0.64146,0.88203,1.03359,0.93928,0.95601,0.995,0.88152,0.56123,1.8945,1.0603,0.000390905,0.000390905,0.000390905
66,103.471,0.64607,1.02302,1.16779,0.96825,0.98871,0.995,0.87842,0.50779,1.74789,1.00366,0.000386286,0.000386286,0.000386286
67,104.829,0.66055,0.99699,1.09666,0.96825,0.98871,0.995,0.87842,0.50779,1.74789,1.00366,0.000381336,0.000381336,0.000381336
